,Date,Ticker,Price,K
41,2021-01-08,SPY US 1/15/21 P344 Equity,0.12,344
1,2021-01-08,SPY US 1/15/21 P384 Equity,4.24,384
21,2021-01-08,SPY US 1/15/21 P364 Equity,0.46,364
3,2021-01-08,SPY US 1/15/21 P382 Equity,3.23,382
4,2021-01-08,SPY US 1/15/21 P381 Equity,2.8,381
5,2021-01-08,SPY US 1/15/21 P380 Equity,2.47,380
6,2021-01-08,SPY US 1/15/21 P379 Equity,2.18,379
7,2021-01-08,SPY US 1/15/21 P378 Equity,1.91,378
8,2021-01-08,SPY US 1/15/21 P377 Equity,1.73,377
2,2021-01-08,SPY US 1/15/21 P383 Equity,3.85,383
11,2021-01-08,SPY US 1/15/21 P374 Equity,1.19,374
10,2021-01-08,SPY US 1/15/21 P375 Equity,1.34,375
19,2021-01-08,SPY US 1/15/21 P366 Equity,0.54,366
18,2021-01-08,SPY US 1/15/21 P367 Equity,0.59,367
16,2021-01-08,SPY US 1/15/21 P369 Equity,0.7,369
17,2021-01-08,SPY US 1/15/21 P368 Equity,0.66,368
14,2021-01-08,SPY US 1/15/21 P371 Equity,0.89,371
13,2021-01-08,SPY US 1/15/21 P372 Equity,0.95,372
12,2021-01-08,SPY US 1/15/21 P373 Equity,1.06,373
15,2021-01-08,SPY US 1/15/21 P370 Equity,0.77,370
0,2021-01-08,SPY US 1/15/21 P385 Equity,4.86,385
20,2021-01-08,SPY US 1/15/21 P365 Equity,0.5,365
9,2021-01-08,SPY US 1/15/21 P376 Equity,1.51,376
22,2021-01-08,SPY US 1/15/21 P363 Equity,0.43,363
30,2021-01-08,SPY US 1/15/21 P355 Equity,0.23,355
25,2021-01-08,SPY US 1/15/21 P360 Equity,0.34,360
26,2021-01-08,SPY US 1/15/21 P359 Equity,0.31,359
27,2021-01-08,SPY US 1/15/21 P358 Equity,0.29,358
28,2021-01-08,SPY US 1/15/21 P357 Equity,0.26,357
29,2021-01-08,SPY US 1/15/21 P356 Equity,0.24,356
31,2021-01-08,SPY US 1/15/21 P354 Equity,0.21,354
32,2021-01-08,SPY US 1/15/21 P353 Equity,0.2,353
33,2021-01-08,SPY US 1/15/21 P352 Equity,0.2,352
34,2021-01-08,SPY US 1/15/21 P351 Equity,0.17,351
24,2021-01-08,SPY US 1/15/21 P361 Equity,0.38,361
23,2021-01-08,SPY US 1/15/21 P362 Equity,0.4,362
36,2021-01-08,SPY US 1/15/21 P349 Equity,0.16,349
37,2021-01-08,SPY US 1/15/21 P348 Equity,0.15,348
38,2021-01-08,SPY US 1/15/21 P347 Equity,0.16,347
39,2021-01-08,SPY US 1/15/21 P346 Equity,0.14,346
40,2021-01-08,SPY US 1/15/21 P345 Equity,0.13,345
42,2021-01-08,SPY US 1/15/21 P343 Equity,0.12,343
43,2021-01-08,SPY US 1/15/21 P342 Equity,0.12,342
44,2021-01-08,SPY US 1/15/21 P341 Equity,0.1,341
