,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NDXP240426C14300000,2024-04-25 14:34:23+00:00,14300.0,2963.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
1,NDXP240426C14500000,2024-04-17 14:16:19+00:00,14500.0,3192.53,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
2,NDXP240426C14700000,2024-04-18 14:37:35+00:00,14700.0,2862.17,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
3,NDXP240426C15200000,2024-03-15 18:26:28+00:00,15200.0,2727.05,2840.9,2869.2,0.0,0.0,,1,4.36060025238037,True,REGULAR,USD
4,NDXP240426C15300000,2024-03-15 18:26:28+00:00,15300.0,2629.7,2741.6,2769.8,0.0,0.0,,1,4.251690781583786,True,REGULAR,USD
5,NDXP240426C16150000,2024-04-01 17:28:48+00:00,16150.0,2166.9,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
6,NDXP240426C16175000,2024-04-15 14:00:51+00:00,16175.0,2005.3,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
7,NDXP240426C16250000,2024-04-25 13:48:05+00:00,16250.0,997.3,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
8,NDXP240426C16400000,2024-04-19 16:14:30+00:00,16400.0,740.7,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
9,NDXP240426C16500000,2024-04-25 19:38:16+00:00,16500.0,945.25,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
10,NDXP240426C16550000,2024-04-19 16:14:30+00:00,16550.0,608.5,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
11,NDXP240426C16700000,2024-04-25 15:28:59+00:00,16700.0,580.79,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
12,NDXP240426C16800000,2024-04-25 18:17:40+00:00,16800.0,655.5,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
13,NDXP240426C16875000,2024-04-24 14:41:51+00:00,16875.0,706.49,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
14,NDXP240426C16900000,2024-04-23 16:40:27+00:00,16900.0,596.99,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
15,NDXP240426C16920000,2024-04-19 19:16:17+00:00,16920.0,286.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
16,NDXP240426C16925000,2024-04-19 19:16:17+00:00,16925.0,283.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
17,NDXP240426C16930000,2024-04-19 19:16:17+00:00,16930.0,279.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
18,NDXP240426C16950000,2024-04-24 14:41:51+00:00,16950.0,634.49,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
19,NDXP240426C16960000,2024-04-22 14:26:21+00:00,16960.0,251.8,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
20,NDXP240426C16980000,2024-04-19 19:17:54+00:00,16980.0,243.1,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
21,NDXP240426C16990000,2024-04-25 16:03:27+00:00,16990.0,332.15,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
22,NDXP240426C17000000,2024-04-25 17:28:57+00:00,17000.0,374.88,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
23,NDXP240426C17010000,2024-04-19 18:55:08+00:00,17010.0,226.75,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
24,NDXP240426C17030000,2024-04-22 15:26:27+00:00,17030.0,208.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
25,NDXP240426C17040000,2024-04-22 13:43:24+00:00,17040.0,252.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
26,NDXP240426C17050000,2024-04-22 14:13:07+00:00,17050.0,248.8,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
27,NDXP240426C17060000,2024-04-19 20:09:54+00:00,17060.0,200.6,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
28,NDXP240426C17070000,2024-04-25 18:08:35+00:00,17070.0,392.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
29,NDXP240426C17075000,2024-04-19 19:29:39+00:00,17075.0,205.5,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
30,NDXP240426C17080000,2024-04-22 14:21:59+00:00,17080.0,202.7,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
31,NDXP240426C17100000,2024-04-25 19:38:20+00:00,17100.0,361.65,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
32,NDXP240426C17110000,2024-04-19 18:29:28+00:00,17110.0,204.7,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
33,NDXP240426C17120000,2024-04-22 16:24:18+00:00,17120.0,190.0,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
