,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NDXP240426P14300000,2024-04-25 20:13:05+00:00,14300.0,0.05,0.0,0.0,0.0,0.0,69.0,0,0.500005,False,REGULAR,USD
1,NDXP240426P14325000,2024-04-25 13:33:06+00:00,14325.0,0.15,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
2,NDXP240426P14500000,2024-04-05 17:47:27+00:00,14500.0,6.25,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
3,NDXP240426P14550000,2024-04-03 13:44:10+00:00,14550.0,5.91,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
4,NDXP240426P14575000,2024-04-15 14:24:14+00:00,14575.0,2.87,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
5,NDXP240426P14650000,2024-03-15 14:40:07+00:00,14650.0,16.73,3.9,4.7,0.0,0.0,,4,1.4384793701171876,False,REGULAR,USD
6,NDXP240426P14700000,2024-04-03 13:44:10+00:00,14700.0,6.4,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
7,NDXP240426P14725000,2024-04-19 19:59:39+00:00,14725.0,3.5,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
8,NDXP240426P14750000,2024-03-15 14:40:07+00:00,14750.0,17.53,4.1,5.0,0.0,0.0,,4,1.3989287866210938,False,REGULAR,USD
9,NDXP240426P14800000,2024-04-25 20:04:32+00:00,14800.0,0.1,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
10,NDXP240426P14875000,2024-04-18 19:17:01+00:00,14875.0,3.04,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
11,NDXP240426P14900000,2024-04-17 13:34:35+00:00,14900.0,3.31,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
12,NDXP240426P14925000,2024-04-19 14:29:16+00:00,14925.0,4.3,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
13,NDXP240426P15000000,2024-04-19 17:33:02+00:00,15000.0,3.3,0.0,0.0,0.0,0.0,13.0,0,0.500005,False,REGULAR,USD
14,NDXP240426P15100000,2024-03-15 14:25:48+00:00,15100.0,21.86,5.1,6.0,0.0,0.0,,8,1.2587317337036135,False,REGULAR,USD
15,NDXP240426P15150000,2024-04-22 17:02:28+00:00,15150.0,1.05,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
16,NDXP240426P15300000,2024-04-22 15:43:04+00:00,15300.0,1.57,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
17,NDXP240426P15350000,2024-04-25 19:47:45+00:00,15350.0,0.35,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
18,NDXP240426P15425000,2024-03-20 19:06:26+00:00,15425.0,14.35,5.3,6.8,0.0,0.0,,2,1.108769104614258,False,REGULAR,USD
19,NDXP240426P15450000,2024-04-19 20:08:36+00:00,15450.0,6.05,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
20,NDXP240426P15500000,2024-04-25 20:14:36+00:00,15500.0,0.1,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
21,NDXP240426P15525000,2024-04-05 14:23:45+00:00,15525.0,12.7,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD
22,NDXP240426P15550000,2024-04-18 15:12:48+00:00,15550.0,3.9,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
23,NDXP240426P15575000,2024-04-25 14:53:37+00:00,15575.0,0.5,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
24,NDXP240426P15600000,2024-04-23 20:10:13+00:00,15600.0,0.86,0.0,0.0,0.0,0.0,28.0,0,0.2500075,False,REGULAR,USD
25,NDXP240426P15625000,2024-04-17 14:04:52+00:00,15625.0,5.3,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
26,NDXP240426P15650000,2024-04-22 15:04:43+00:00,15650.0,3.3,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
27,NDXP240426P15700000,2024-04-25 19:43:18+00:00,15700.0,0.62,0.0,0.0,0.0,0.0,6.0,0,0.2500075,False,REGULAR,USD
28,NDXP240426P15750000,2024-04-23 18:49:20+00:00,15750.0,0.92,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
29,NDXP240426P15775000,2024-04-03 18:28:16+00:00,15775.0,10.03,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
30,NDXP240426P15800000,2024-04-25 19:16:05+00:00,15800.0,0.6,0.0,0.0,0.0,0.0,28.0,0,0.2500075,False,REGULAR,USD
31,NDXP240426P15850000,2024-04-25 13:35:47+00:00,15850.0,0.7,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
32,NDXP240426P15900000,2024-04-25 15:48:31+00:00,15900.0,0.72,0.0,0.0,0.0,0.0,12.0,0,0.2500075,False,REGULAR,USD
33,NDXP240426P15925000,2024-04-23 15:53:45+00:00,15925.0,0.9,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
34,NDXP240426P15950000,2024-04-25 16:36:52+00:00,15950.0,0.55,0.0,0.0,0.0,0.0,7.0,0,0.2500075,False,REGULAR,USD
35,NDXP240426P16000000,2024-04-25 20:14:03+00:00,16000.0,0.15,0.0,0.0,0.0,0.0,4.0,0,0.2500075,False,REGULAR,USD
36,NDXP240426P16025000,2024-04-17 19:56:44+00:00,16025.0,8.47,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
37,NDXP240426P16050000,2024-04-25 18:05:05+00:00,16050.0,0.65,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
38,NDXP240426P16100000,2024-04-25 20:14:33+00:00,16100.0,0.1,0.0,0.0,0.0,0.0,14.0,0,0.2500075,False,REGULAR,USD
39,NDXP240426P16125000,2024-04-24 17:49:25+00:00,16125.0,0.67,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
40,NDXP240426P16150000,2024-04-25 19:52:30+00:00,16150.0,0.94,0.0,0.0,0.0,0.0,13.0,0,0.2500075,False,REGULAR,USD
41,NDXP240426P16175000,2024-04-25 16:32:43+00:00,16175.0,0.7,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
42,NDXP240426P16200000,2024-04-25 19:47:52+00:00,16200.0,1.25,0.0,0.0,0.0,0.0,29.0,0,0.2500075,False,REGULAR,USD
43,NDXP240426P16225000,2024-04-25 20:09:27+00:00,16225.0,0.3,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
44,NDXP240426P16250000,2024-04-25 18:04:56+00:00,16250.0,0.85,0.0,0.0,0.0,0.0,50.0,0,0.2500075,False,REGULAR,USD
45,NDXP240426P16275000,2024-04-25 18:57:51+00:00,16275.0,1.15,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD
46,NDXP240426P16300000,2024-04-25 19:52:30+00:00,16300.0,1.36,0.0,0.0,0.0,0.0,27.0,0,0.2500075,False,REGULAR,USD
47,NDXP240426P16325000,2024-04-25 14:57:47+00:00,16325.0,1.45,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD
48,NDXP240426P16350000,2024-04-25 18:55:39+00:00,16350.0,1.25,0.0,0.0,0.0,0.0,66.0,0,0.2500075,False,REGULAR,USD
49,NDXP240426P16375000,2024-04-25 19:19:42+00:00,16375.0,0.95,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
50,NDXP240426P16400000,2024-04-25 19:24:24+00:00,16400.0,0.95,0.0,0.0,0.0,0.0,25.0,0,0.2500075,False,REGULAR,USD
51,NDXP240426P16425000,2024-04-25 15:46:44+00:00,16425.0,1.42,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
52,NDXP240426P16450000,2024-04-25 19:09:34+00:00,16450.0,1.31,0.0,0.0,0.0,0.0,195.0,0,0.2500075,False,REGULAR,USD
53,NDXP240426P16460000,2024-04-25 19:44:23+00:00,16460.0,1.61,0.0,0.0,0.0,0.0,43.0,0,0.2500075,False,REGULAR,USD
54,NDXP240426P16470000,2024-04-25 19:34:23+00:00,16470.0,1.15,0.0,0.0,0.0,0.0,13.0,0,0.2500075,False,REGULAR,USD
