,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUTW240426C01120000,2024-04-08 14:56:25+00:00,1120.0,959.43,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
1,RUTW240426C01125000,2024-04-08 14:56:25+00:00,1125.0,954.38,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
2,RUTW240426C01840000,2024-04-15 18:12:38+00:00,1840.0,143.39,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,RUTW240426C01850000,2024-04-15 18:12:38+00:00,1850.0,133.92,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,RUTW240426C01860000,2024-04-10 14:24:14+00:00,1860.0,184.31,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
5,RUTW240426C01875000,2024-04-24 18:05:20+00:00,1875.0,119.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,RUTW240426C01880000,2024-04-25 13:47:09+00:00,1880.0,84.8,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
7,RUTW240426C01890000,2024-04-25 18:48:31+00:00,1890.0,85.84,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
8,RUTW240426C01900000,2024-04-25 13:59:26+00:00,1900.0,61.21,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
9,RUTW240426C01905000,2024-04-25 18:05:28+00:00,1905.0,73.69,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
10,RUTW240426C01910000,2024-04-18 18:32:01+00:00,1910.0,47.74,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
11,RUTW240426C01915000,2024-04-15 16:51:48+00:00,1915.0,85.28,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
12,RUTW240426C01920000,2024-04-19 13:39:48+00:00,1920.0,45.14,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
13,RUTW240426C01925000,2024-04-25 18:05:28+00:00,1925.0,54.28,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
14,RUTW240426C01930000,2024-04-25 16:04:04+00:00,1930.0,41.57,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
15,RUTW240426C01935000,2024-04-19 19:54:42+00:00,1935.0,30.48,0.0,0.0,0.0,0.0,45.0,0,1.0000000000000003e-05,True,REGULAR,USD
16,RUTW240426C01940000,2024-04-25 14:21:35+00:00,1940.0,31.27,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
17,RUTW240426C01945000,2024-04-25 17:52:50+00:00,1945.0,37.99,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
18,RUTW240426C01950000,2024-04-25 16:04:04+00:00,1950.0,25.06,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
19,RUTW240426C01955000,2024-04-25 19:56:12+00:00,1955.0,29.93,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
20,RUTW240426C01960000,2024-04-25 19:49:23+00:00,1960.0,24.54,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD
21,RUTW240426C01965000,2024-04-25 17:52:50+00:00,1965.0,21.9,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
22,RUTW240426C01970000,2024-04-25 19:59:58+00:00,1970.0,19.9,0.0,0.0,0.0,0.0,49.0,0,1.0000000000000003e-05,True,REGULAR,USD
23,RUTW240426C01975000,2024-04-25 20:07:23+00:00,1975.0,13.05,0.0,0.0,0.0,0.0,33.0,0,1.0000000000000003e-05,True,REGULAR,USD
24,RUTW240426C01980000,2024-04-25 20:14:17+00:00,1980.0,11.54,0.0,0.0,0.0,0.0,84.0,0,1.0000000000000003e-05,True,REGULAR,USD
25,RUTW240426C01985000,2024-04-25 20:07:23+00:00,1985.0,8.3,0.0,0.0,0.0,0.0,23.0,0,0.007822421875,False,REGULAR,USD
26,RUTW240426C01990000,2024-04-25 20:05:12+00:00,1990.0,6.55,0.0,0.0,0.0,0.0,39.0,0,0.015634843750000002,False,REGULAR,USD
