,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUTW240426P01255000,2024-03-18 20:10:58+00:00,1255.0,0.25,0.0,0.1,0.0,0.0,,1,2.7656280859375,False,REGULAR,USD
1,RUTW240426P01260000,2024-03-18 20:10:33+00:00,1260.0,0.25,0.0,0.1,0.0,0.0,,1,2.74219064453125,False,REGULAR,USD
2,RUTW240426P01265000,2024-03-18 20:09:44+00:00,1265.0,0.25,0.0,0.1,0.0,0.0,,3,2.718753203125,False,REGULAR,USD
3,RUTW240426P01290000,2024-03-19 14:13:03+00:00,1290.0,0.35,0.0,0.1,0.0,0.0,1.0,1,2.6093784765625,False,REGULAR,USD
4,RUTW240426P01295000,2024-03-19 14:13:03+00:00,1295.0,0.35,0.0,0.1,0.0,0.0,3.0,6,2.58594103515625,False,REGULAR,USD
5,RUTW240426P01300000,2024-03-19 14:28:07+00:00,1300.0,0.4,0.0,0.1,0.0,0.0,7.0,7,2.56250359375,False,REGULAR,USD
6,RUTW240426P01305000,2024-03-19 14:10:25+00:00,1305.0,0.35,0.0,0.1,0.0,0.0,1.0,1,2.5468786328124997,False,REGULAR,USD
7,RUTW240426P01310000,2024-04-18 13:30:33+00:00,1310.0,0.06,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
8,RUTW240426P01320000,2024-03-18 20:06:35+00:00,1320.0,0.35,0.0,0.15,0.0,0.0,,8,2.56250359375,False,REGULAR,USD
9,RUTW240426P01325000,2024-03-18 20:05:00+00:00,1325.0,0.35,0.0,0.15,0.0,0.0,,3,2.5390661523437497,False,REGULAR,USD
10,RUTW240426P01330000,2024-03-18 20:04:52+00:00,1330.0,0.35,0.0,0.15,0.0,0.0,,9,2.5156287109374995,False,REGULAR,USD
11,RUTW240426P01335000,2024-03-19 19:04:28+00:00,1335.0,0.45,0.0,0.1,0.0,0.0,3.0,3,2.4140664648437498,False,REGULAR,USD
12,RUTW240426P01345000,2024-03-18 19:57:58+00:00,1345.0,0.4,0.0,0.15,0.0,0.0,,1,2.4531288671875,False,REGULAR,USD
13,RUTW240426P01350000,2024-03-19 14:09:39+00:00,1350.0,0.45,0.0,0.1,0.0,0.0,2.0,3,2.3515666210937494,False,REGULAR,USD
14,RUTW240426P01355000,2024-03-20 19:05:36+00:00,1355.0,0.4,0.0,0.1,0.0,0.0,8.0,8,2.328129179687499,False,REGULAR,USD
15,RUTW240426P01360000,2024-03-21 15:50:37+00:00,1360.0,0.2,0.0,0.1,0.0,0.0,,28,2.3046917382812495,False,REGULAR,USD
16,RUTW240426P01365000,2024-03-19 14:07:42+00:00,1365.0,0.45,0.0,0.1,0.0,0.0,1.0,1,2.28906677734375,False,REGULAR,USD
17,RUTW240426P01370000,2024-03-19 14:07:30+00:00,1370.0,0.45,0.0,0.1,0.0,0.0,1.0,2,2.2656293359374997,False,REGULAR,USD
18,RUTW240426P01375000,2024-03-18 16:28:16+00:00,1375.0,0.45,0.0,0.15,0.0,0.0,,12,2.3203166992187496,False,REGULAR,USD
19,RUTW240426P01380000,2024-03-18 16:21:09+00:00,1380.0,0.45,0.0,0.15,0.0,0.0,,1,2.3007854980468747,False,REGULAR,USD
