,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,VIXW240501C00010000,2024-04-24 15:39:44+00:00,10.0,6.1,4.98,6.07,0.0,0.0,180.0,0,2.46094134765625,True,REGULAR,USD
1,VIXW240501C00011000,2024-04-15 15:18:07+00:00,11.0,5.95,3.99,5.08,0.0,0.0,20.0,0,2.0546923632812497,True,REGULAR,USD
2,VIXW240501C00012000,2024-04-11 19:48:13+00:00,12.0,3.57,2.98,4.07,0.0,0.0,14.0,0,1.6015644921874999,True,REGULAR,USD
3,VIXW240501C00012500,2024-04-01 14:51:14+00:00,12.5,2.6,2.5,3.58,0.0,0.0,5.0,0,1.4453152734375,True,REGULAR,USD
4,VIXW240501C00013000,2024-04-25 19:22:43+00:00,13.0,3.07,2.0,3.08,0.0,0.0,10.0,0,1.2421912890624998,True,REGULAR,USD
5,VIXW240501C00013500,2024-04-25 13:38:02+00:00,13.5,3.37,1.53,2.59,0.0,0.0,2.0,0,1.0859420703125,True,REGULAR,USD
6,VIXW240501C00014000,2024-04-25 20:01:21+00:00,14.0,1.82,1.07,2.11,0.0,0.0,107.0,0,0.937500625,True,REGULAR,USD
7,VIXW240501C00014500,2024-04-25 18:25:53+00:00,14.5,1.69,0.7,1.64,0.0,0.0,6.0,0,0.8437515624999999,True,REGULAR,USD
8,VIXW240501C00015000,2024-04-25 20:14:50+00:00,15.0,0.86,0.55,1.21,0.0,0.0,79.0,0,0.87500125,True,REGULAR,USD
9,VIXW240501C00016000,2024-04-25 20:14:50+00:00,16.0,0.4,0.06,0.58,0.0,0.0,439.0,0,0.7246121289062499,False,REGULAR,USD
10,VIXW240501C00017000,2024-04-25 20:14:29+00:00,17.0,0.25,0.01,0.35,0.0,0.0,1213.0,0,0.8710950390625,False,REGULAR,USD
11,VIXW240501C00018000,2024-04-25 20:07:19+00:00,18.0,0.08,0.05,0.25,0.0,0.0,546.0,0,1.08984830078125,False,REGULAR,USD
12,VIXW240501C00019000,2024-04-25 20:11:15+00:00,19.0,0.12,0.0,0.2,0.0,0.0,147.0,0,1.1953165234375,False,REGULAR,USD
13,VIXW240501C00020000,2024-04-25 20:13:15+00:00,20.0,0.06,0.0,0.16,0.0,0.0,673.0,0,1.3359408203124996,False,REGULAR,USD
14,VIXW240501C00021000,2024-04-25 19:34:40+00:00,21.0,0.11,0.0,0.15,0.0,0.0,150.0,0,1.5000025,False,REGULAR,USD
15,VIXW240501C00022000,2024-04-25 17:40:25+00:00,22.0,0.06,0.0,0.14,0.0,0.0,44.0,0,1.640626796875,False,REGULAR,USD
16,VIXW240501C00023000,2024-04-25 14:54:41+00:00,23.0,0.09,0.0,0.13,0.0,0.0,160.0,0,1.7734386328124998,False,REGULAR,USD
17,VIXW240501C00024000,2024-04-25 18:25:53+00:00,24.0,0.07,0.0,0.13,0.0,0.0,5027.0,0,1.9218753906250001,False,REGULAR,USD
18,VIXW240501C00025000,2024-04-25 19:11:39+00:00,25.0,0.05,0.03,0.12,0.0,0.0,137.0,0,2.1093797265624996,False,REGULAR,USD
19,VIXW240501C00026000,2024-04-25 14:51:47+00:00,26.0,0.05,0.0,0.11,0.0,0.0,6.0,0,2.1250046874999997,False,REGULAR,USD
20,VIXW240501C00027000,2024-04-25 14:51:48+00:00,27.0,0.04,0.0,0.11,0.0,0.0,3.0,0,2.2421918945312496,False,REGULAR,USD
21,VIXW240501C00028000,2024-04-24 16:14:27+00:00,28.0,0.05,0.0,0.1,0.0,0.0,8.0,0,2.328129179687499,False,REGULAR,USD
22,VIXW240501C00029000,2024-04-22 15:56:09+00:00,29.0,0.12,0.0,0.1,0.0,0.0,2.0,0,2.43750390625,False,REGULAR,USD
23,VIXW240501C00030000,2024-04-25 16:23:44+00:00,30.0,0.03,0.0,0.05,0.0,0.0,29.0,0,2.2968792578125,False,REGULAR,USD
24,VIXW240501C00032000,2024-04-23 13:40:55+00:00,32.0,0.04,0.0,0.09,0.0,0.0,3.0,0,2.68750328125,False,REGULAR,USD
25,VIXW240501C00033000,2024-04-22 16:28:22+00:00,33.0,0.06,0.0,0.09,0.0,0.0,25.0,0,2.7812530468750003,False,REGULAR,USD
26,VIXW240501C00035000,2024-04-25 16:17:59+00:00,35.0,0.02,0.0,0.09,0.0,0.0,1.0,0,2.9531276171874996,False,REGULAR,USD
27,VIXW240501C00036000,2024-04-19 14:47:14+00:00,36.0,0.13,0.0,0.08,0.0,0.0,5.0,0,2.9843775390625,False,REGULAR,USD
28,VIXW240501C00037000,2024-04-09 19:45:36+00:00,37.0,0.14,0.0,0.08,0.0,0.0,9.0,0,3.06250234375,False,REGULAR,USD
29,VIXW240501C00038000,2024-04-09 19:43:30+00:00,38.0,0.14,0.0,0.08,0.0,0.0,17.0,0,3.1250021875,False,REGULAR,USD
30,VIXW240501C00039000,2024-04-19 16:18:20+00:00,39.0,0.1,0.0,0.08,0.0,0.0,4.0,0,3.2031269921874994,False,REGULAR,USD
31,VIXW240501C00040000,2024-04-19 14:22:33+00:00,40.0,0.1,0.0,0.08,0.0,0.0,4.0,0,3.281251796875,False,REGULAR,USD
32,VIXW240501C00042500,2024-04-19 14:56:53+00:00,42.5,0.06,0.0,0.08,0.0,0.0,50.0,0,3.43750140625,False,REGULAR,USD
33,VIXW240501C00045000,2024-04-22 13:35:31+00:00,45.0,0.08,0.0,0.08,0.0,0.0,16.0,0,3.593751015625,False,REGULAR,USD
34,VIXW240501C00047500,2024-04-15 18:00:57+00:00,47.5,0.12,0.0,0.08,0.0,0.0,,0,3.750000625,False,REGULAR,USD
35,VIXW240501C00050000,2024-04-25 14:03:59+00:00,50.0,0.01,0.0,0.08,0.0,0.0,87.0,0,3.8750003125,False,REGULAR,USD
36,VIXW240501C00055000,2024-04-18 19:54:35+00:00,55.0,0.05,0.0,0.08,0.0,0.0,,0,4.12500484375,False,REGULAR,USD
37,VIXW240501C00070000,2024-04-19 14:21:40+00:00,70.0,0.03,0.0,0.08,0.0,0.0,10.0,0,4.7500040624999995,False,REGULAR,USD
