,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,VIXW240501P00011500,2024-04-12 18:25:04+00:00,11.5,0.02,0.0,0.01,0.0,0.0,1.0,0,0.937500625,False,REGULAR,USD
1,VIXW240501P00012000,2024-04-23 19:08:51+00:00,12.0,0.01,0.0,0.01,0.0,0.0,22.0,0,0.8125018749999999,False,REGULAR,USD
2,VIXW240501P00012500,2024-04-25 16:41:20+00:00,12.5,0.01,0.0,0.01,0.0,0.0,3.0,0,0.7187528125,False,REGULAR,USD
3,VIXW240501P00013000,2024-04-24 13:30:03+00:00,13.0,0.04,0.0,0.08,0.0,0.0,4.0,0,0.8437515624999999,False,REGULAR,USD
4,VIXW240501P00013500,2024-04-23 18:03:40+00:00,13.5,0.03,0.0,0.05,0.0,0.0,20.0,0,0.6250037500000001,False,REGULAR,USD
5,VIXW240501P00014000,2024-04-25 20:13:11+00:00,14.0,0.05,0.0,0.17,0.0,0.0,65.0,0,0.6601596484375001,False,REGULAR,USD
6,VIXW240501P00014500,2024-04-25 20:13:01+00:00,14.5,0.09,0.05,0.28,0.0,0.0,138.0,0,0.6289099609375001,False,REGULAR,USD
7,VIXW240501P00015000,2024-04-25 20:08:52+00:00,15.0,0.25,0.03,0.46,0.0,0.0,224.0,0,0.5195360546875,False,REGULAR,USD
8,VIXW240501P00016000,2024-04-25 20:05:39+00:00,16.0,0.6,0.4,1.18,0.0,0.0,391.0,0,1.0312548437500002,True,REGULAR,USD
9,VIXW240501P00017000,2024-04-25 20:14:56+00:00,17.0,1.31,1.15,2.15,0.0,0.0,1011.0,0,1.400393623046875,True,REGULAR,USD
10,VIXW240501P00018000,2024-04-25 20:03:04+00:00,18.0,2.12,2.1,2.5,0.0,0.0,766.0,0,1.0000000000000003e-05,True,REGULAR,USD
11,VIXW240501P00019000,2024-04-25 17:11:02+00:00,19.0,2.57,3.03,4.07,0.0,0.0,22.0,0,1.90234423828125,True,REGULAR,USD
12,VIXW240501P00020000,2024-04-23 19:49:17+00:00,20.0,4.05,4.01,5.06,0.0,0.0,8.0,0,2.1406296484375,True,REGULAR,USD
13,VIXW240501P00021000,2024-04-17 15:31:52+00:00,21.0,3.65,4.98,6.05,0.0,0.0,10.0,0,2.355472861328124,True,REGULAR,USD
14,VIXW240501P00023000,2024-04-23 18:27:31+00:00,23.0,6.98,6.97,8.04,0.0,0.0,2.0,0,2.74219064453125,True,REGULAR,USD
15,VIXW240501P00024000,2024-04-25 13:44:11+00:00,24.0,7.22,7.96,9.04,0.0,0.0,1.0,0,2.925783935546875,True,REGULAR,USD
16,VIXW240501P00028000,2024-04-16 18:09:06+00:00,28.0,10.83,11.95,13.03,0.0,0.0,1.0,0,3.535157412109375,True,REGULAR,USD
17,VIXW240501P00029000,2024-04-15 18:13:44+00:00,29.0,11.49,12.95,14.03,0.0,0.0,,0,3.6718758203125006,True,REGULAR,USD
18,VIXW240501P00031000,2024-04-03 13:30:05+00:00,31.0,15.28,14.94,16.02,0.0,0.0,210.0,0,3.902343994140625,True,REGULAR,USD
19,VIXW240501P00060000,2024-04-24 13:31:25+00:00,60.0,44.1,43.9,44.99,0.0,0.0,5.0,0,6.0703149121093745,True,REGULAR,USD
20,VIXW240501P00080000,2024-04-18 13:34:22+00:00,80.0,62.6,63.89,64.98,0.0,0.0,,0,6.9062513671875,True,REGULAR,USD
